GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Astrophysics Java,com.enguga.app,App,213,0,9,0,56,0,14,0,7,0
Astrophysics Java,com.enguga.app.utils,InputUtils,65,0,4,0,26,0,5,0,3,0
Astrophysics Java,com.enguga.app.utils,NumberFormatter,20,0,4,0,5,0,4,0,2,0
Astrophysics Java,com.enguga.app.calculations,GravitationalForce,3,10,0,0,1,1,1,1,1,1
Astrophysics Java,com.enguga.app.calculations,OrbitalVelocity,10,0,0,0,2,0,2,0,2,0
Astrophysics Java,com.enguga.app.calculations,BlackHoleHawkingRadiation,11,0,0,0,2,0,2,0,2,0
Astrophysics Java,com.enguga.app.calculations,GravitationalTimeDilation,3,17,0,0,1,2,1,1,1,1
Astrophysics Java,com.enguga.app.calculations,SchwarzschildRadius,3,6,0,0,1,1,1,1,1,1
Astrophysics Java,com.enguga.app.calculations,GravitationalLens,3,8,0,0,1,1,1,1,1,1
Astrophysics Java,com.enguga.app.calculations,TimeDilation,29,0,4,0,5,0,4,0,2,0
Astrophysics Java,com.enguga.app.calculations,EscapeVelocity,3,7,0,0,1,1,1,1,1,1
